term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
air,0.025,0.025,6.991005771570476,0.025,1.0249999999996975,0.025,1.0729243162814537,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.5430486779217405,1.0249999999992623,2.0249999999990056,0.025,0.025,0.025,0.025,1.0249999999995707,0.025,0.02500000000000001,2.9770756837176826,0.025000000000000005,2.0362568710486006,0.025,1.024999999999629,0.025,1.9009673412734471,0.025,1.0249999999994797,0.025000000000000005,1.506951322077407,2.0249999999995,0.025,0.025000000000000005,1.1717700161056737,0.025,0.025
air mountain,0.025,0.025,2.024999999999706,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
airplane,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.024999999999718,0.025,1.0249999999996442,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
airport,0.025,0.025,1.0249999999996031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995731,4.024999999999671,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
alarm,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999997215,0.025,0.025,0.025,0.025,1.0249999999995623,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
album,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995651,0.025,0.025,0.025,1.024999999999597,0.025,0.025,0.025,0.025,0.025,0.025
alert,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996369,0.025,0.025,0.025,0.025,0.025,5.024999999999771,0.025,0.025,0.025,0.025,0.025,0.025
alert alert,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,4.024999999999765,0.025,0.025,0.025,0.025,0.025,0.025
algorithm,0.025,1.024999999999153,0.025,0.025,1.0249999999996975,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,3.024999999999577,0.025,0.025,1.024999999999565,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999996753,0.025,0.025,0.025
alien,0.025,0.025,0.025,0.025,0.025,2.024999999999392,0.025,0.025,0.025,0.025,1.024999999999689,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,1.0249999999979902,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001
aliens,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999689,0.025,2.0249999999994888,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995685,0.025,0.025,0.025,0.025,0.025,1.0249999999995025,0.025,0.025
alignment,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999990995,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02500000000000001,0.025,0.025,0.025,0.025,5.024999999999653,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
